issue_key,dominant_topic,dominant_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob
TIKA-3638,7,0.5199,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.4754,0.5199,0.0006,0.0006
TIKA-3523,4,0.9996,0.0,0.0,0.0,0.0,0.9996,0.0,0.0,0.0,0.0,0.0
TIKA-3664,4,0.9992,0.0001,0.0001,0.0001,0.0001,0.9992,0.0001,0.0001,0.0001,0.0001,0.0001
TIKA-3669,7,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9974,0.0003,0.0003
TIKA-3703,4,0.4513,0.0002,0.0002,0.4087,0.0002,0.4513,0.1388,0.0002,0.0002,0.0002,0.0002
TIKA-3681,3,0.9964,0.0004,0.0004,0.0004,0.9964,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-3689,4,0.9977,0.0003,0.0003,0.0003,0.0003,0.9977,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3695,3,0.9977,0.0003,0.0003,0.0003,0.9977,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
TIKA-3835,5,0.9995,0.0001,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001,0.0001
TIKA-3836,0,0.9961,0.9961,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
TIKA-3837,4,0.5045,0.0004,0.0004,0.0004,0.0004,0.5045,0.4922,0.0004,0.0004,0.0004,0.0004
TIKA-3725,5,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002
TIKA-3729,7,0.998,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.998,0.0002,0.0002
TIKA-3790,0,0.9959,0.9959,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
TIKA-3846,0,0.7972,0.7972,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.1915,0.0014
TIKA-3941,1,0.9983,0.0002,0.9983,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
TIKA-3861,8,0.654,0.0008,0.1835,0.0008,0.0008,0.0008,0.1571,0.0008,0.0008,0.654,0.0008
TIKA-3885,5,0.9959,0.0005,0.0005,0.0005,0.0005,0.0005,0.9959,0.0005,0.0005,0.0005,0.0005
